id,business_entity_id,project_id,customer_id,product_id,quantity,shipment_date,carrier,shipping_method,expected_delivery_date,actual_delivery_date,status,logistics_owner_member_id,related_issue_id,created_at,updated_at
SHP-00001,BE-SHIP-0001,PROJ-001,CUS-002,AP-CN-204,1215,2025-07-12,Korea Express,Air,2025-07-27,2025-07-26,in_transit,PM-011,ISS-2025-006,2025-07-12T09:00:00,2026-06-01T09:00:00
SHP-00002,BE-SHIP-0002,PROJ-001,CUS-002,AP-SC-330,1607,2025-08-04,CJ Logistics,Sea,2025-08-10,2025-08-10,delayed,PM-011,,2025-08-04T09:00:00,2026-06-01T09:00:00
SHP-00003,BE-SHIP-0003,PROJ-001,CUS-001,AP-CN-204,4703,2025-06-06,CJ Logistics,Sea,2025-06-17,2025-06-26,delayed,PM-011,ISS-2026-007,2025-06-06T09:00:00,2026-06-01T09:00:00
SHP-00004,BE-SHIP-0004,PROJ-001,CUS-005,AP-RL-450,2250,2026-02-08,Hanjin,Courier,2026-02-26,2026-02-26,delivered,PM-013,,2026-02-08T09:00:00,2026-06-01T09:00:00
SHP-00005,BE-SHIP-0005,PROJ-001,CUS-003,AP-TM-118,2185,2026-03-14,FedEx,Air,2026-04-03,2026-04-12,customs_hold,PM-013,ISS-2026-001,2026-03-14T09:00:00,2026-06-01T09:00:00
SHP-00006,BE-SHIP-0006,PROJ-001,CUS-001,AP-CN-204,2101,2025-10-14,Korea Express,Sea,2025-10-16,2025-10-25,in_transit,PM-012,ISS-2026-005,2025-10-14T09:00:00,2026-06-01T09:00:00
SHP-00007,BE-SHIP-0007,PROJ-001,CUS-001,AP-CN-204,768,2025-07-20,FedEx,Air,2025-07-30,2025-08-08,delivered,PM-013,ISS-2026-007,2025-07-20T09:00:00,2026-06-01T09:00:00
SHP-00008,BE-SHIP-0008,PROJ-001,CUS-001,AP-TM-118,2242,2025-08-10,CJ Logistics,Air,2025-08-26,2025-08-28,customs_hold,PM-011,ISS-2025-013,2025-08-10T09:00:00,2026-06-01T09:00:00
SHP-00009,BE-SHIP-0009,PROJ-001,CUS-002,AP-CN-204,994,2025-06-15,CJ Logistics,Sea,2025-06-26,2025-06-26,customs_hold,PM-012,ISS-2026-004,2025-06-15T09:00:00,2026-06-01T09:00:00
SHP-00010,BE-SHIP-0010,PROJ-001,CUS-005,AP-CB-510,3406,2026-02-11,DHL,Sea,2026-02-26,2026-02-28,delayed,PM-012,ISS-2025-009,2026-02-11T09:00:00,2026-06-01T09:00:00
SHP-00011,BE-SHIP-0011,PROJ-001,CUS-003,AP-SC-330,4728,2026-01-11,DHL,Air,2026-01-20,2026-01-19,customs_hold,PM-011,ISS-2025-014,2026-01-11T09:00:00,2026-06-01T09:00:00
SHP-00012,BE-SHIP-0012,PROJ-001,CUS-001,AP-TM-118,1865,2026-05-03,Hanjin,Sea,2026-05-12,2026-05-17,in_transit,PM-012,ISS-2026-002,2026-05-03T09:00:00,2026-06-01T09:00:00
SHP-00013,BE-SHIP-0013,PROJ-001,CUS-001,AP-RL-450,1458,2026-05-10,FedEx,Truck,2026-05-25,2026-05-25,delivered,PM-012,,2026-05-10T09:00:00,2026-06-01T09:00:00
SHP-00014,BE-SHIP-0014,PROJ-001,CUS-003,AP-SC-330,3542,2026-03-01,Hanjin,Truck,2026-03-13,2026-03-12,in_transit,PM-012,ISS-2025-014,2026-03-01T09:00:00,2026-06-01T09:00:00
SHP-00015,BE-SHIP-0015,PROJ-001,CUS-002,AP-CN-204,1050,2025-07-07,DHL,Sea,2025-07-17,2025-07-22,delivered,PM-011,ISS-2026-004,2025-07-07T09:00:00,2026-06-01T09:00:00
SHP-00016,BE-SHIP-0016,PROJ-001,CUS-002,AP-CN-204,4039,2025-08-18,Korea Express,Truck,2025-09-04,2025-09-13,delayed,PM-013,ISS-2025-006,2025-08-18T09:00:00,2026-06-01T09:00:00
SHP-00017,BE-SHIP-0017,PROJ-001,CUS-003,AP-SC-330,3110,2025-09-07,CJ Logistics,Air,2025-09-09,2025-09-09,in_transit,PM-012,ISS-2026-003,2025-09-07T09:00:00,2026-06-01T09:00:00
SHP-00018,BE-SHIP-0018,PROJ-001,CUS-001,AP-SC-330,2852,2025-12-23,CJ Logistics,Courier,2026-01-11,2026-01-11,in_transit,PM-011,ISS-2026-007,2025-12-23T09:00:00,2026-06-01T09:00:00
SHP-00019,BE-SHIP-0019,PROJ-001,CUS-001,AP-WH-220,3557,2025-10-07,Korea Express,Truck,2025-10-21,2025-10-30,in_transit,PM-012,ISS-2025-008,2025-10-07T09:00:00,2026-06-01T09:00:00
SHP-00020,BE-SHIP-0020,PROJ-001,CUS-002,AP-CN-204,4448,2026-04-24,Korea Express,Truck,2026-05-12,2026-05-12,in_transit,PM-012,ISS-2025-006,2026-04-24T09:00:00,2026-06-01T09:00:00
SHP-00021,BE-SHIP-0021,PROJ-001,CUS-003,AP-CB-510,1928,2025-08-03,FedEx,Sea,2025-08-07,2025-08-09,delivered,PM-013,ISS-2025-010,2025-08-03T09:00:00,2026-06-01T09:00:00
SHP-00022,BE-SHIP-0022,PROJ-001,CUS-001,AP-CN-204,485,2025-10-03,Korea Express,Sea,2025-10-21,2025-10-30,in_transit,PM-013,ISS-2026-007,2025-10-03T09:00:00,2026-06-01T09:00:00
SHP-00023,BE-SHIP-0023,PROJ-001,CUS-003,AP-CB-510,3473,2025-10-14,Korea Express,Air,2025-10-27,2025-10-27,customs_hold,PM-012,,2025-10-14T09:00:00,2026-06-01T09:00:00
SHP-00024,BE-SHIP-0024,PROJ-001,CUS-003,AP-SC-330,220,2025-06-18,Korea Express,Truck,2025-06-19,2025-06-18,in_transit,PM-012,ISS-2025-014,2025-06-18T09:00:00,2026-06-01T09:00:00
SHP-00025,BE-SHIP-0025,PROJ-001,CUS-003,AP-CB-510,3620,2026-04-02,Hanjin,Sea,2026-04-15,2026-04-15,delayed,PM-013,ISS-2025-010,2026-04-02T09:00:00,2026-06-01T09:00:00
SHP-00026,BE-SHIP-0026,PROJ-001,CUS-001,AP-CN-204,4500,2026-02-19,Hanjin,Truck,2026-02-28,2026-03-09,delayed,PM-013,ISS-2026-005,2026-02-19T09:00:00,2026-06-01T09:00:00
SHP-00027,BE-SHIP-0027,PROJ-001,CUS-001,AP-TM-118,4933,2025-08-08,DHL,Sea,2025-08-19,2025-08-24,delivered,PM-011,ISS-2025-013,2025-08-08T09:00:00,2026-06-01T09:00:00
SHP-00028,BE-SHIP-0028,PROJ-001,CUS-001,AP-TM-118,3609,2026-01-16,Hanjin,Courier,2026-01-18,2026-01-18,in_transit,PM-013,ISS-2026-002,2026-01-16T09:00:00,2026-06-01T09:00:00
SHP-00029,BE-SHIP-0029,PROJ-001,CUS-001,AP-TM-118,2692,2025-11-04,FedEx,Truck,2025-11-23,2025-12-02,delivered,PM-012,ISS-2025-013,2025-11-04T09:00:00,2026-06-01T09:00:00
SHP-00030,BE-SHIP-0030,PROJ-001,CUS-004,AP-RL-450,2131,2026-04-30,DHL,Courier,2026-05-06,2026-05-06,in_transit,PM-013,ISS-2025-007,2026-04-30T09:00:00,2026-06-01T09:00:00
SHP-00031,BE-SHIP-0031,PROJ-001,CUS-005,AP-CB-510,1142,2025-08-01,Korea Express,Courier,2025-08-17,2025-08-17,delayed,PM-012,ISS-2026-006,2025-08-01T09:00:00,2026-06-01T09:00:00
SHP-00032,BE-SHIP-0032,PROJ-001,CUS-001,AP-CN-204,758,2025-07-21,Hanjin,Air,2025-07-23,2025-07-25,customs_hold,PM-011,ISS-2026-005,2025-07-21T09:00:00,2026-06-01T09:00:00
SHP-00033,BE-SHIP-0033,PROJ-001,CUS-002,AP-CN-204,264,2025-06-19,FedEx,Courier,2025-07-02,2025-07-02,delivered,PM-013,ISS-2026-008,2025-06-19T09:00:00,2026-06-01T09:00:00
SHP-00034,BE-SHIP-0034,PROJ-001,CUS-005,AP-RL-450,1897,2026-02-13,FedEx,Truck,2026-02-27,2026-03-08,customs_hold,PM-013,,2026-02-13T09:00:00,2026-06-01T09:00:00
SHP-00035,BE-SHIP-0035,PROJ-001,CUS-003,AP-SC-330,4490,2026-01-14,DHL,Truck,2026-01-28,2026-02-02,delayed,PM-012,ISS-2025-011,2026-01-14T09:00:00,2026-06-01T09:00:00
SHP-00036,BE-SHIP-0036,PROJ-001,CUS-001,AP-TM-118,126,2026-03-14,DHL,Courier,2026-03-30,2026-04-08,in_transit,PM-011,ISS-2026-002,2026-03-14T09:00:00,2026-06-01T09:00:00
SHP-00037,BE-SHIP-0037,PROJ-001,CUS-001,AP-CN-204,4931,2025-08-07,Hanjin,Courier,2025-08-08,2025-08-10,in_transit,PM-012,ISS-2026-005,2025-08-07T09:00:00,2026-06-01T09:00:00
SHP-00038,BE-SHIP-0038,PROJ-001,CUS-001,AP-CN-204,1097,2025-10-05,DHL,Sea,2025-10-06,2025-10-05,delayed,PM-011,ISS-2026-005,2025-10-05T09:00:00,2026-06-01T09:00:00
SHP-00039,BE-SHIP-0039,PROJ-001,CUS-001,AP-WH-220,1963,2025-12-25,DHL,Air,2026-01-08,2026-01-08,delivered,PM-012,ISS-2025-008,2025-12-25T09:00:00,2026-06-01T09:00:00
SHP-00040,BE-SHIP-0040,PROJ-001,CUS-005,AP-CB-510,4522,2025-07-01,CJ Logistics,Truck,2025-07-06,2025-07-06,in_transit,PM-012,ISS-2025-009,2025-07-01T09:00:00,2026-06-01T09:00:00
SHP-00041,BE-SHIP-0041,PROJ-001,CUS-003,AP-CN-204,1580,2025-09-27,FedEx,Air,2025-10-05,2025-10-10,delayed,PM-013,,2025-09-27T09:00:00,2026-06-01T09:00:00
SHP-00042,BE-SHIP-0042,PROJ-001,CUS-003,AP-CB-510,2619,2026-03-27,Korea Express,Courier,2026-04-01,2026-03-31,delayed,PM-011,ISS-2025-010,2026-03-27T09:00:00,2026-06-01T09:00:00
