id,business_entity_id,project_id,customer_id,product_id,defect_type,defect_quantity,severity,status,quality_owner_member_id,first_claim_date,latest_claim_date,related_issue_id,created_at,updated_at
CLM-00001,BE-CLAIM-0001,PROJ-001,CUS-003,AP-SC-330,외관 손상,27,Medium,corrective_action,PM-009,2025-09-18,2025-09-18,ISS-2026-003,2025-09-18T09:00:00,2026-06-01T09:00:00
CLM-00002,BE-CLAIM-0002,PROJ-001,CUS-003,AP-SC-330,접촉 불량,178,Medium,closed,PM-010,2025-07-03,2025-07-03,ISS-2025-011,2025-07-03T09:00:00,2026-06-01T09:00:00
CLM-00003,BE-CLAIM-0003,PROJ-001,CUS-003,AP-SC-330,외관 손상,179,High,received,PM-010,2025-11-29,2025-11-29,ISS-2026-003,2025-11-29T09:00:00,2026-06-01T09:00:00
CLM-00004,BE-CLAIM-0004,PROJ-001,CUS-003,AP-SC-330,핀 배열 불일치,6,High,closed,PM-009,2026-05-19,2026-05-19,ISS-2026-003,2026-05-19T09:00:00,2026-06-01T09:00:00
CLM-00005,BE-CLAIM-0005,PROJ-001,CUS-003,AP-SC-330,외관 손상,119,Low,closed,PM-008,2025-06-16,2025-06-16,ISS-2026-003,2025-06-16T09:00:00,2026-06-01T09:00:00
CLM-00006,BE-CLAIM-0006,PROJ-001,CUS-003,AP-CB-510,작동 불량,176,Low,received,PM-009,2025-06-17,2025-06-17,ISS-2025-010,2025-06-17T09:00:00,2026-06-01T09:00:00
CLM-00007,BE-CLAIM-0007,PROJ-001,CUS-003,AP-SC-330,접촉 불량,15,Low,corrective_action,PM-008,2026-02-01,2026-02-01,ISS-2025-014,2026-02-01T09:00:00,2026-06-01T09:00:00
CLM-00008,BE-CLAIM-0008,PROJ-001,CUS-003,AP-SC-330,접촉 불량,135,High,received,PM-008,2026-02-22,2026-02-22,ISS-2026-003,2026-02-22T09:00:00,2026-06-01T09:00:00
CLM-00009,BE-CLAIM-0009,PROJ-001,CUS-003,AP-SC-330,외관 손상,147,High,under_analysis,PM-009,2026-04-12,2026-04-12,ISS-2026-003,2026-04-12T09:00:00,2026-06-01T09:00:00
CLM-00010,BE-CLAIM-0010,PROJ-001,CUS-003,AP-SC-330,작동 불량,128,Medium,corrective_action,PM-009,2025-11-18,2025-11-18,ISS-2025-011,2025-11-18T09:00:00,2026-06-01T09:00:00
CLM-00011,BE-CLAIM-0011,PROJ-001,CUS-003,AP-SC-330,외관 손상,113,Low,closed,PM-008,2025-09-23,2025-09-23,ISS-2025-014,2025-09-23T09:00:00,2026-06-01T09:00:00
CLM-00012,BE-CLAIM-0012,PROJ-001,CUS-003,AP-SC-330,외관 손상,42,High,closed,PM-010,2026-05-20,2026-05-20,ISS-2025-014,2026-05-20T09:00:00,2026-06-01T09:00:00
CLM-00013,BE-CLAIM-0013,PROJ-001,CUS-003,AP-SC-330,작동 불량,9,High,closed,PM-010,2025-12-27,2025-12-27,ISS-2025-011,2025-12-27T09:00:00,2026-06-01T09:00:00
CLM-00014,BE-CLAIM-0014,PROJ-001,CUS-003,AP-SC-330,외관 손상,92,High,under_analysis,PM-010,2026-03-13,2026-03-13,ISS-2025-014,2026-03-13T09:00:00,2026-06-01T09:00:00
CLM-00015,BE-CLAIM-0015,PROJ-001,CUS-001,AP-CN-204,작동 불량,77,Medium,received,PM-008,2026-05-07,2026-05-07,,2026-05-07T09:00:00,2026-06-01T09:00:00
CLM-00016,BE-CLAIM-0016,PROJ-001,CUS-003,AP-SC-330,작동 불량,81,Medium,received,PM-008,2026-01-14,2026-01-14,ISS-2026-003,2026-01-14T09:00:00,2026-06-01T09:00:00
CLM-00017,BE-CLAIM-0017,PROJ-001,CUS-003,AP-SC-330,접촉 불량,70,Low,corrective_action,PM-009,2026-03-15,2026-03-15,ISS-2025-011,2026-03-15T09:00:00,2026-06-01T09:00:00
CLM-00018,BE-CLAIM-0018,PROJ-001,CUS-003,AP-SC-330,외관 손상,63,Low,under_analysis,PM-009,2026-04-15,2026-04-15,ISS-2025-011,2026-04-15T09:00:00,2026-06-01T09:00:00
CLM-00019,BE-CLAIM-0019,PROJ-001,CUS-001,AP-WH-220,외관 손상,103,High,under_analysis,PM-008,2025-12-01,2025-12-01,,2025-12-01T09:00:00,2026-06-01T09:00:00
CLM-00020,BE-CLAIM-0020,PROJ-001,CUS-003,AP-SC-330,라벨 오류,167,High,received,PM-009,2026-05-28,2026-05-28,ISS-2025-011,2026-05-28T09:00:00,2026-06-01T09:00:00
CLM-00021,BE-CLAIM-0021,PROJ-001,CUS-003,AP-SC-330,라벨 오류,49,Medium,under_analysis,PM-010,2026-02-10,2026-02-10,ISS-2026-003,2026-02-10T09:00:00,2026-06-01T09:00:00
CLM-00022,BE-CLAIM-0022,PROJ-001,CUS-003,AP-SC-330,핀 배열 불일치,81,High,corrective_action,PM-010,2025-06-30,2025-06-30,ISS-2025-011,2025-06-30T09:00:00,2026-06-01T09:00:00
CLM-00023,BE-CLAIM-0023,PROJ-001,CUS-003,AP-CB-510,핀 배열 불일치,63,Low,closed,PM-008,2026-05-06,2026-05-06,ISS-2025-010,2026-05-06T09:00:00,2026-06-01T09:00:00
CLM-00024,BE-CLAIM-0024,PROJ-001,CUS-003,AP-CB-510,라벨 오류,63,High,received,PM-010,2026-01-07,2026-01-07,ISS-2025-010,2026-01-07T09:00:00,2026-06-01T09:00:00
CLM-00025,BE-CLAIM-0025,PROJ-001,CUS-003,AP-SC-330,외관 손상,77,High,closed,PM-009,2025-09-12,2025-09-12,ISS-2026-003,2025-09-12T09:00:00,2026-06-01T09:00:00
CLM-00026,BE-CLAIM-0026,PROJ-001,CUS-003,AP-SC-330,외관 손상,163,Medium,closed,PM-010,2025-12-05,2025-12-05,ISS-2026-003,2025-12-05T09:00:00,2026-06-01T09:00:00
CLM-00027,BE-CLAIM-0027,PROJ-001,CUS-003,AP-CB-510,접촉 불량,139,Low,under_analysis,PM-008,2026-05-01,2026-05-01,ISS-2025-010,2026-05-01T09:00:00,2026-06-01T09:00:00
