날짜,담당자,작업내용,상태,우선순위,마감일,신뢰도,비고
2026-05-18,이성우,FastAPI /documents/upload API와 chunker 연결,진행중,높음,2026-05-21,95,ai_interface.py analyze_document() 활용
2026-05-18,이성우,embedder 자동 실행 트리거 구현,미시작,높음,2026-05-21,90,BackgroundTasks 활용
2026-05-18,이성우,summarizer 결과 PostgreSQL 저장 연동,미시작,높음,2026-05-22,88,chunks/ai_summaries 테이블
2026-05-18,이성우,Azure API 타임아웃 재시도 로직 개선,진행중,높음,2026-05-19,92,Korea Central 리전 전환 테스트
2026-05-18,김성호,/todos GET/POST API 완성,진행중,높음,2026-05-20,95,confidence_score 컬럼 포함
2026-05-18,김성호,/issues GET/POST API 완성,미시작,높음,2026-05-20,90,is_candidate BOOLEAN 포함
2026-05-18,김성호,dashboard/summary API 구현,미시작,높음,2026-05-20,85,여러 테이블 조인 필요
2026-05-18,김성호,/documents/upload API 완성,진행중,높음,2026-05-21,92,파일 저장 + AI 파이프라인 트리거
2026-05-18,김예은,GitHub Actions CI/CD 파이프라인 완성,진행중,높음,2026-05-19,88,dev 브랜치 자동 배포
2026-05-18,김예은,Docker 이미지 최적화,미시작,중간,2026-05-22,80,멀티 스테이지 빌드
2026-05-18,박주원,프론트 와이어프레임 확정,완료,높음,2026-05-18,100,Figma 공유 완료
2026-05-18,박주원,Todo 화면 API 연동,미시작,높음,2026-05-22,87,GET /api/v1/todos 연동
2026-05-18,박주원,이슈 로그 화면 구현,미시작,중간,2026-05-23,82,
2026-05-18,김희진,3주차 중간 점검 진행,미시작,중간,2026-05-21,100,수요일 정기 미팅
