shipment_id,shipment_date,customer_id,product_id,quantity,carrier,shipping_method,expected_delivery_date,actual_delivery_date,shipment_status,logistics_owner,related_issue_id
SHP-00001,2025-07-12,CUS-002,AP-CN-204,1215,Korea Express,Air,2025-07-27,2025-07-26,In Transit,윤예린,ISS-2025-006
SHP-00002,2025-08-04,CUS-002,AP-SC-330,1607,CJ Logistics,Sea,2025-08-10,2025-08-10,Delayed,윤예린,
SHP-00003,2025-06-06,CUS-001,AP-CN-204,4703,CJ Logistics,Sea,2025-06-17,2025-06-26,Delayed,윤예린,ISS-2026-007
SHP-00004,2026-02-08,CUS-005,AP-RL-450,2250,Hanjin,Courier,2026-02-26,2026-02-26,Delivered,문태준,
SHP-00005,2026-03-14,CUS-003,AP-TM-118,2185,FedEx,Air,2026-04-03,2026-04-12,Customs Hold,문태준,ISS-2026-001
SHP-00006,2025-10-14,CUS-001,AP-CN-204,2101,Korea Express,Sea,2025-10-16,2025-10-25,In Transit,권재윤,ISS-2026-005
SHP-00007,2025-07-20,CUS-001,AP-CN-204,768,FedEx,Air,2025-07-30,2025-08-08,Delivered,문태준,ISS-2026-007
SHP-00008,2025-08-10,CUS-001,AP-TM-118,2242,CJ Logistics,Air,2025-08-26,2025-08-28,Customs Hold,윤예린,ISS-2025-013
SHP-00009,2025-06-15,CUS-002,AP-CN-204,994,CJ Logistics,Sea,2025-06-26,2025-06-26,Customs Hold,권재윤,ISS-2026-004
SHP-00010,2026-02-11,CUS-005,AP-CB-510,3406,DHL,Sea,2026-02-26,2026-02-28,Delayed,권재윤,ISS-2025-009
SHP-00011,2026-01-11,CUS-003,AP-SC-330,4728,DHL,Air,2026-01-20,2026-01-19,Customs Hold,윤예린,ISS-2025-014
SHP-00012,2026-05-03,CUS-001,AP-TM-118,1865,Hanjin,Sea,2026-05-12,2026-05-17,In Transit,권재윤,ISS-2026-002
SHP-00013,2026-05-10,CUS-001,AP-RL-450,1458,FedEx,Truck,2026-05-25,2026-05-25,Delivered,권재윤,
