doc_id,file_path,doc_type,created_date,author,related_team,related_customer_id,related_supplier_id,related_product_id,related_issue_id,summary_hint
DOC-0001,02_raw_documents/meeting_notes/DOC-0001_meeting_notes_2025-06-25.md,주간 운영 회의록,2025-06-25,김도윤,운영총괄팀,CUS-002,SUP-001,AP-CN-204,ISS-2025-006,Daesung Automotive / AP-CN-204 커넥터 / Daesung Automotive 긴급 발주 대응 관련 meeting_notes 업무 기록
DOC-0002,02_raw_documents/sales_emails/DOC-0002_sales_emails_2025-06-03.md,고객 불만 메일,2025-06-03,정하늘,영업관리팀,CUS-003,SUP-002,AP-RL-450,,Mirae EV Systems / AP-RL-450 릴레이 / 정기 운영 확인 관련 sales_emails 업무 기록
DOC-0003,02_raw_documents/sales_emails/DOC-0003_sales_emails_2025-06-15.md,고객 발주 메일,2025-06-15,박서연,영업관리팀,CUS-002,SUP-001,AP-CN-204,ISS-2025-006,Daesung Automotive / AP-CN-204 커넥터 / Daesung Automotive 긴급 발주 대응 관련 sales_emails 업무 기록
DOC-0004,02_raw_documents/purchase_emails/DOC-0004_purchase_emails_2025-06-25.md,리드타임 변경 공지,2025-06-25,강민호,구매팀,CUS-002,SUP-001,AP-CN-204,ISS-2025-006,Daesung Automotive / AP-CN-204 커넥터 / Daesung Automotive 긴급 발주 대응 관련 purchase_emails 업무 기록
DOC-0005,02_raw_documents/purchase_emails/DOC-0005_purchase_emails_2025-06-15.md,구매처 재고 부족 안내,2025-06-15,강민호,구매팀,CUS-002,SUP-001,AP-CN-204,ISS-2025-006,Daesung Automotive / AP-CN-204 커넥터 / Daesung Automotive 긴급 발주 대응 관련 purchase_emails 업무 기록
DOC-0006,02_raw_documents/logistics_logs/DOC-0006_logistics_logs_2025-06-21.md,출고 로그,2025-06-21,문태준,물류팀,CUS-002,SUP-001,AP-CN-204,ISS-2025-006,Daesung Automotive / AP-CN-204 커넥터 / Daesung Automotive 긴급 발주 대응 관련 logistics_logs 업무 기록
DOC-0007,02_raw_documents/quality_claims/DOC-0007_quality_claims_2025-06-07.md,불량 원인 분석 메모,2025-06-07,한지우,품질 클레임팀,CUS-002,SUP-001,AP-CN-204,ISS-2025-006,Daesung Automotive / AP-CN-204 커넥터 / Daesung Automotive 긴급 발주 대응 관련 quality_claims 업무 기록
DOC-0008,02_raw_documents/meeting_notes/DOC-0008_meeting_notes_2025-06-03.md,인수인계 준비 회의록,2025-06-03,김도윤,운영총괄팀,CUS-005,SUP-005,AP-WH-220,,Global Harness Vietnam / AP-WH-220 와이어하네스 / 정기 운영 확인 관련 meeting_notes 업무 기록
DOC-0009,02_raw_documents/logistics_logs/DOC-0009_logistics_logs_2025-06-29.md,출고 로그,2025-06-29,문태준,물류팀,CUS-002,SUP-001,AP-CN-204,ISS-2025-006,Daesung Automotive / AP-CN-204 커넥터 / Daesung Automotive 긴급 발주 대응 관련 logistics_logs 업무 기록
DOC-0010,02_raw_documents/sales_emails/DOC-0010_sales_emails_2025-06-11.md,단가 협상 메일,2025-06-11,정하늘,영업관리팀,CUS-002,SUP-001,AP-CN-204,ISS-2025-006,Daesung Automotive / AP-CN-204 커넥터 / Daesung Automotive 긴급 발주 대응 관련 sales_emails 업무 기록
DOC-0011,02_raw_documents/sales_emails/DOC-0011_sales_emails_2025-06-18.md,고객 납기 문의,2025-06-18,정하늘,영업관리팀,CUS-002,SUP-001,AP-CN-204,ISS-2025-006,Daesung Automotive / AP-CN-204 커넥터 / Daesung Automotive 긴급 발주 대응 관련 sales_emails 업무 기록
DOC-0012,02_raw_documents/meeting_notes/DOC-0012_meeting_notes_2025-06-15.md,주간 운영 회의록,2025-06-15,김도윤,운영총괄팀,CUS-002,SUP-001,AP-CN-204,ISS-2025-006,Daesung Automotive / AP-CN-204 커넥터 / Daesung Automotive 긴급 발주 대응 관련 meeting_notes 업무 기록
DOC-0013,02_raw_documents/sales_emails/DOC-0013_sales_emails_2025-07-11.md,수출 고객 커뮤니케이션 메일,2025-07-11,정하늘,영업관리팀,CUS-004,SUP-001,AP-RL-450,ISS-2025-007,Hanil Motors / AP-RL-450 릴레이 / Hanil Motors 정기 발주 수량 변경 관련 sales_emails 업무 기록
DOC-0014,02_raw_documents/meeting_notes/DOC-0014_meeting_notes_2025-07-25.md,주간 운영 회의록,2025-07-25,김도윤,운영총괄팀,CUS-002,SUP-003,AP-RL-450,,Daesung Automotive / AP-RL-450 릴레이 / 정기 운영 확인 관련 meeting_notes 업무 기록
DOC-0015,02_raw_documents/chat_logs/DOC-0015_chat_logs_2025-07-03.md,팀 내부 진행 대화,2025-07-03,정하늘,영업관리팀,CUS-002,SUP-004,AP-CB-510,,Daesung Automotive / AP-CB-510 케이블 어셈블리 / 정기 운영 확인 관련 chat_logs 업무 기록
DOC-0016,02_raw_documents/sales_emails/DOC-0016_sales_emails_2025-07-03.md,고객 불만 메일,2025-07-03,정하늘,영업관리팀,CUS-001,SUP-003,AP-WH-220,,Hyundai Mobis Tier2 / AP-WH-220 와이어하네스 / 정기 운영 확인 관련 sales_emails 업무 기록
DOC-0017,02_raw_documents/meeting_notes/DOC-0017_meeting_notes_2025-07-19.md,월간 리스크 회의록,2025-07-19,김도윤,운영총괄팀,CUS-004,SUP-001,AP-RL-450,ISS-2025-007,Hanil Motors / AP-RL-450 릴레이 / Hanil Motors 정기 발주 수량 변경 관련 meeting_notes 업무 기록
DOC-0018,02_raw_documents/quality_claims/DOC-0018_quality_claims_2025-07-07.md,불량 원인 분석 메모,2025-07-07,송태현,품질 클레임팀,CUS-001,SUP-001,AP-CN-204,,Hyundai Mobis Tier2 / AP-CN-204 커넥터 / 정기 운영 확인 관련 quality_claims 업무 기록
DOC-0019,02_raw_documents/meeting_notes/DOC-0019_meeting_notes_2025-07-30.md,품질 클레임 대응 회의록,2025-07-30,김도윤,운영총괄팀,CUS-001,SUP-002,AP-CB-510,,Hyundai Mobis Tier2 / AP-CB-510 케이블 어셈블리 / 정기 운영 확인 관련 meeting_notes 업무 기록
DOC-0020,02_raw_documents/purchase_emails/DOC-0020_purchase_emails_2025-07-05.md,리드타임 변경 공지,2025-07-05,최유진,구매팀,CUS-002,SUP-002,AP-SC-330,,Daesung Automotive / AP-SC-330 센서 케이블 / 정기 운영 확인 관련 purchase_emails 업무 기록
DOC-0021,02_raw_documents/quality_claims/DOC-0021_quality_claims_2025-07-23.md,클레임 접수표,2025-07-23,배수민,품질 클레임팀,CUS-004,SUP-004,AP-RL-450,ISS-2025-007,Hanil Motors / AP-RL-450 릴레이 / Hanil Motors 정기 발주 수량 변경 관련 quality_claims 업무 기록
DOC-0022,02_raw_documents/purchase_emails/DOC-0022_purchase_emails_2025-07-11.md,리드타임 변경 공지,2025-07-11,오세진,구매팀,CUS-004,SUP-002,AP-RL-450,ISS-2025-007,Hanil Motors / AP-RL-450 릴레이 / Hanil Motors 정기 발주 수량 변경 관련 purchase_emails 업무 기록
DOC-0023,02_raw_documents/purchase_emails/DOC-0023_purchase_emails_2025-07-05.md,대체품 가능 여부 회신,2025-07-05,오세진,구매팀,CUS-001,SUP-003,AP-CB-510,,Hyundai Mobis Tier2 / AP-CB-510 케이블 어셈블리 / 정기 운영 확인 관련 purchase_emails 업무 기록
DOC-0024,02_raw_documents/logistics_logs/DOC-0024_logistics_logs_2025-07-27.md,출고 로그,2025-07-27,문태준,물류팀,CUS-003,SUP-005,AP-CN-204,,Mirae EV Systems / AP-CN-204 커넥터 / 정기 운영 확인 관련 logistics_logs 업무 기록
DOC-0025,02_raw_documents/chat_logs/DOC-0025_chat_logs_2025-08-27.md,팀장 승인 요청 대화,2025-08-27,정하늘,영업관리팀,CUS-001,SUP-002,AP-WH-220,ISS-2025-008,Hyundai Mobis Tier2 / AP-WH-220 와이어하네스 / KET Supplier 재고 부족으로 납기 지연 가능 관련 chat_logs 업무 기록
DOC-0026,02_raw_documents/sales_emails/DOC-0026_sales_emails_2025-08-20.md,단가 협상 메일,2025-08-20,박서연,영업관리팀,CUS-001,SUP-002,AP-WH-220,ISS-2025-008,Hyundai Mobis Tier2 / AP-WH-220 와이어하네스 / KET Supplier 재고 부족으로 납기 지연 가능 관련 sales_emails 업무 기록
DOC-0027,02_raw_documents/logistics_logs/DOC-0027_logistics_logs_2025-08-17.md,통관 지연 기록,2025-08-17,문태준,물류팀,CUS-001,SUP-002,AP-WH-220,ISS-2025-008,Hyundai Mobis Tier2 / AP-WH-220 와이어하네스 / KET Supplier 재고 부족으로 납기 지연 가능 관련 logistics_logs 업무 기록
DOC-0028,02_raw_documents/chat_logs/DOC-0028_chat_logs_2025-08-17.md,Todo 노출 대화,2025-08-17,이민재,영업관리팀,CUS-001,SUP-002,AP-WH-220,ISS-2025-008,Hyundai Mobis Tier2 / AP-WH-220 와이어하네스 / KET Supplier 재고 부족으로 납기 지연 가능 관련 chat_logs 업무 기록
DOC-0029,02_raw_documents/quality_claims/DOC-0029_quality_claims_2025-08-20.md,개선대책 요청,2025-08-20,송태현,품질 클레임팀,CUS-001,SUP-002,AP-WH-220,ISS-2025-008,Hyundai Mobis Tier2 / AP-WH-220 와이어하네스 / KET Supplier 재고 부족으로 납기 지연 가능 관련 quality_claims 업무 기록
DOC-0030,02_raw_documents/sales_emails/DOC-0030_sales_emails_2025-08-05.md,고객 불만 메일,2025-08-05,박서연,영업관리팀,CUS-001,SUP-002,AP-WH-220,ISS-2025-008,Hyundai Mobis Tier2 / AP-WH-220 와이어하네스 / KET Supplier 재고 부족으로 납기 지연 가능 관련 sales_emails 업무 기록
DOC-0031,02_raw_documents/logistics_logs/DOC-0031_logistics_logs_2025-08-20.md,배송 지연 기록,2025-08-20,문태준,물류팀,CUS-001,SUP-002,AP-WH-220,ISS-2025-008,Hyundai Mobis Tier2 / AP-WH-220 와이어하네스 / KET Supplier 재고 부족으로 납기 지연 가능 관련 logistics_logs 업무 기록
DOC-0032,02_raw_documents/logistics_logs/DOC-0032_logistics_logs_2025-08-07.md,입고 로그,2025-08-07,권재윤,물류팀,CUS-001,SUP-002,AP-WH-220,ISS-2025-008,Hyundai Mobis Tier2 / AP-WH-220 와이어하네스 / KET Supplier 재고 부족으로 납기 지연 가능 관련 logistics_logs 업무 기록
DOC-0033,02_raw_documents/chat_logs/DOC-0033_chat_logs_2025-08-30.md,팀장 승인 요청 대화,2025-08-30,이민재,영업관리팀,CUS-001,SUP-002,AP-WH-220,ISS-2025-008,Hyundai Mobis Tier2 / AP-WH-220 와이어하네스 / KET Supplier 재고 부족으로 납기 지연 가능 관련 chat_logs 업무 기록
