doc_id,file_path,doc_type,created_date,author,related_team,related_customer_id,related_supplier_id,related_product_id,related_issue_id,summary_hint
DOC-2022-001-001,02_raw_documents/sales_emails/DOC-2022-001-001_urgent_shipment_conflict_2022-01-10.md,sales_emails,2022-01-10,박서연,영업관리팀,CUST-002,SUP-001,PROD-001,ISSUE-2022-001,설 연휴 전 긴급 출고 일정 혼선 관련 sales_emails 원천자료
DOC-2022-001-002,02_raw_documents/purchase_emails/DOC-2022-001-002_urgent_shipment_conflict_2022-01-12.md,purchase_emails,2022-01-12,최유진,구매팀,CUST-002,SUP-001,PROD-001,ISSUE-2022-001,설 연휴 전 긴급 출고 일정 혼선 관련 purchase_emails 원천자료
DOC-2022-001-003,02_raw_documents/quality_claims/DOC-2022-001-003_urgent_shipment_conflict_2022-01-13.md,quality_claims,2022-01-13,한지우,물류팀,CUST-002,SUP-001,PROD-001,ISSUE-2022-001,설 연휴 전 긴급 출고 일정 혼선 관련 quality_claims 원천자료
DOC-2022-001-004,02_raw_documents/logistics_logs/DOC-2022-001-004_urgent_shipment_conflict_2022-01-15.md,logistics_logs,2022-01-15,윤예린,영업관리팀,CUST-002,SUP-001,PROD-001,ISSUE-2022-001,설 연휴 전 긴급 출고 일정 혼선 관련 logistics_logs 원천자료
DOC-2022-001-005,02_raw_documents/meeting_notes/DOC-2022-001-005_urgent_shipment_conflict_2022-01-17.md,meeting_notes,2022-01-17,김도윤,구매팀,CUST-002,SUP-001,PROD-001,ISSUE-2022-001,설 연휴 전 긴급 출고 일정 혼선 관련 meeting_notes 원천자료
DOC-2022-001-006,02_raw_documents/chat_logs/DOC-2022-001-006_urgent_shipment_conflict_2022-01-18.md,chat_logs,2022-01-18,이민재,물류팀,CUST-002,SUP-001,PROD-001,ISSUE-2022-001,설 연휴 전 긴급 출고 일정 혼선 관련 chat_logs 원천자료
DOC-2022-001-007,02_raw_documents/sales_emails/DOC-2022-001-007_urgent_shipment_conflict_2022-01-20.md,sales_emails,2022-01-20,박서연,영업관리팀,CUST-002,SUP-001,PROD-001,ISSUE-2022-001,설 연휴 전 긴급 출고 일정 혼선 관련 sales_emails 원천자료
DOC-2022-001-008,02_raw_documents/purchase_emails/DOC-2022-001-008_urgent_shipment_conflict_2022-01-21.md,purchase_emails,2022-01-21,최유진,구매팀,CUST-002,SUP-001,PROD-001,ISSUE-2022-001,설 연휴 전 긴급 출고 일정 혼선 관련 purchase_emails 원천자료
DOC-2022-001-009,02_raw_documents/quality_claims/DOC-2022-001-009_urgent_shipment_conflict_2022-01-23.md,quality_claims,2022-01-23,한지우,물류팀,CUST-002,SUP-001,PROD-001,ISSUE-2022-001,설 연휴 전 긴급 출고 일정 혼선 관련 quality_claims 원천자료
DOC-2022-001-010,02_raw_documents/logistics_logs/DOC-2022-001-010_urgent_shipment_conflict_2022-01-25.md,logistics_logs,2022-01-25,윤예린,영업관리팀,CUST-002,SUP-001,PROD-001,ISSUE-2022-001,설 연휴 전 긴급 출고 일정 혼선 관련 logistics_logs 원천자료
DOC-2022-001-011,02_raw_documents/meeting_notes/DOC-2022-001-011_urgent_shipment_conflict_2022-01-26.md,meeting_notes,2022-01-26,김도윤,구매팀,CUST-002,SUP-001,PROD-001,ISSUE-2022-001,설 연휴 전 긴급 출고 일정 혼선 관련 meeting_notes 원천자료
DOC-2022-001-012,02_raw_documents/chat_logs/DOC-2022-001-012_urgent_shipment_conflict_2022-01-28.md,chat_logs,2022-01-28,이민재,물류팀,CUST-002,SUP-001,PROD-001,ISSUE-2022-001,설 연휴 전 긴급 출고 일정 혼선 관련 chat_logs 원천자료
DOC-2022-002-001,02_raw_documents/sales_emails/DOC-2022-002-001_supplier_stock_substitute_2022-03-04.md,sales_emails,2022-03-04,박서연,구매팀,CUST-001,SUP-002,PROD-002,ISSUE-2022-002,구매처 재고 부족과 대체품 검토 관련 sales_emails 원천자료
DOC-2022-002-002,02_raw_documents/purchase_emails/DOC-2022-002-002_supplier_stock_substitute_2022-03-06.md,purchase_emails,2022-03-06,최유진,영업관리팀,CUST-001,SUP-002,PROD-002,ISSUE-2022-002,구매처 재고 부족과 대체품 검토 관련 purchase_emails 원천자료
DOC-2022-002-003,02_raw_documents/quality_claims/DOC-2022-002-003_supplier_stock_substitute_2022-03-08.md,quality_claims,2022-03-08,한지우,구매팀,CUST-001,SUP-002,PROD-002,ISSUE-2022-002,구매처 재고 부족과 대체품 검토 관련 quality_claims 원천자료
DOC-2022-002-004,02_raw_documents/logistics_logs/DOC-2022-002-004_supplier_stock_substitute_2022-03-10.md,logistics_logs,2022-03-10,윤예린,영업관리팀,CUST-001,SUP-002,PROD-002,ISSUE-2022-002,구매처 재고 부족과 대체품 검토 관련 logistics_logs 원천자료
DOC-2022-002-005,02_raw_documents/meeting_notes/DOC-2022-002-005_supplier_stock_substitute_2022-03-12.md,meeting_notes,2022-03-12,김도윤,구매팀,CUST-001,SUP-002,PROD-002,ISSUE-2022-002,구매처 재고 부족과 대체품 검토 관련 meeting_notes 원천자료
DOC-2022-002-006,02_raw_documents/chat_logs/DOC-2022-002-006_supplier_stock_substitute_2022-03-14.md,chat_logs,2022-03-14,이민재,영업관리팀,CUST-001,SUP-002,PROD-002,ISSUE-2022-002,구매처 재고 부족과 대체품 검토 관련 chat_logs 원천자료
DOC-2022-002-007,02_raw_documents/sales_emails/DOC-2022-002-007_supplier_stock_substitute_2022-03-15.md,sales_emails,2022-03-15,박서연,구매팀,CUST-001,SUP-002,PROD-002,ISSUE-2022-002,구매처 재고 부족과 대체품 검토 관련 sales_emails 원천자료
DOC-2022-002-008,02_raw_documents/purchase_emails/DOC-2022-002-008_supplier_stock_substitute_2022-03-17.md,purchase_emails,2022-03-17,최유진,영업관리팀,CUST-001,SUP-002,PROD-002,ISSUE-2022-002,구매처 재고 부족과 대체품 검토 관련 purchase_emails 원천자료
DOC-2022-002-009,02_raw_documents/quality_claims/DOC-2022-002-009_supplier_stock_substitute_2022-03-19.md,quality_claims,2022-03-19,한지우,구매팀,CUST-001,SUP-002,PROD-002,ISSUE-2022-002,구매처 재고 부족과 대체품 검토 관련 quality_claims 원천자료
DOC-2022-002-010,02_raw_documents/logistics_logs/DOC-2022-002-010_supplier_stock_substitute_2022-03-21.md,logistics_logs,2022-03-21,윤예린,영업관리팀,CUST-001,SUP-002,PROD-002,ISSUE-2022-002,구매처 재고 부족과 대체품 검토 관련 logistics_logs 원천자료
DOC-2022-002-011,02_raw_documents/meeting_notes/DOC-2022-002-011_supplier_stock_substitute_2022-03-23.md,meeting_notes,2022-03-23,김도윤,구매팀,CUST-001,SUP-002,PROD-002,ISSUE-2022-002,구매처 재고 부족과 대체품 검토 관련 meeting_notes 원천자료
DOC-2022-002-012,02_raw_documents/chat_logs/DOC-2022-002-012_supplier_stock_substitute_2022-03-25.md,chat_logs,2022-03-25,이민재,영업관리팀,CUST-001,SUP-002,PROD-002,ISSUE-2022-002,구매처 재고 부족과 대체품 검토 관련 chat_logs 원천자료
DOC-2022-003-001,02_raw_documents/sales_emails/DOC-2022-003-001_export_document_gap_2022-04-07.md,sales_emails,2022-04-07,박서연,물류팀,CUST-005,SUP-002,PROD-005,ISSUE-2022-003,수출 서류 누락으로 통관 지연 관련 sales_emails 원천자료
DOC-2022-003-002,02_raw_documents/purchase_emails/DOC-2022-003-002_export_document_gap_2022-04-08.md,purchase_emails,2022-04-08,최유진,영업관리팀,CUST-005,SUP-002,PROD-005,ISSUE-2022-003,수출 서류 누락으로 통관 지연 관련 purchase_emails 원천자료
DOC-2022-003-003,02_raw_documents/quality_claims/DOC-2022-003-003_export_document_gap_2022-04-10.md,quality_claims,2022-04-10,한지우,물류팀,CUST-005,SUP-002,PROD-005,ISSUE-2022-003,수출 서류 누락으로 통관 지연 관련 quality_claims 원천자료
DOC-2022-003-004,02_raw_documents/logistics_logs/DOC-2022-003-004_export_document_gap_2022-04-11.md,logistics_logs,2022-04-11,윤예린,영업관리팀,CUST-005,SUP-002,PROD-005,ISSUE-2022-003,수출 서류 누락으로 통관 지연 관련 logistics_logs 원천자료
DOC-2022-003-005,02_raw_documents/meeting_notes/DOC-2022-003-005_export_document_gap_2022-04-12.md,meeting_notes,2022-04-12,김도윤,물류팀,CUST-005,SUP-002,PROD-005,ISSUE-2022-003,수출 서류 누락으로 통관 지연 관련 meeting_notes 원천자료
DOC-2022-003-006,02_raw_documents/chat_logs/DOC-2022-003-006_export_document_gap_2022-04-14.md,chat_logs,2022-04-14,이민재,영업관리팀,CUST-005,SUP-002,PROD-005,ISSUE-2022-003,수출 서류 누락으로 통관 지연 관련 chat_logs 원천자료
DOC-2022-003-007,02_raw_documents/sales_emails/DOC-2022-003-007_export_document_gap_2022-04-15.md,sales_emails,2022-04-15,박서연,물류팀,CUST-005,SUP-002,PROD-005,ISSUE-2022-003,수출 서류 누락으로 통관 지연 관련 sales_emails 원천자료
DOC-2022-003-008,02_raw_documents/purchase_emails/DOC-2022-003-008_export_document_gap_2022-04-17.md,purchase_emails,2022-04-17,최유진,영업관리팀,CUST-005,SUP-002,PROD-005,ISSUE-2022-003,수출 서류 누락으로 통관 지연 관련 purchase_emails 원천자료
DOC-2022-003-009,02_raw_documents/quality_claims/DOC-2022-003-009_export_document_gap_2022-04-18.md,quality_claims,2022-04-18,한지우,물류팀,CUST-005,SUP-002,PROD-005,ISSUE-2022-003,수출 서류 누락으로 통관 지연 관련 quality_claims 원천자료
DOC-2022-003-010,02_raw_documents/logistics_logs/DOC-2022-003-010_export_document_gap_2022-04-19.md,logistics_logs,2022-04-19,윤예린,영업관리팀,CUST-005,SUP-002,PROD-005,ISSUE-2022-003,수출 서류 누락으로 통관 지연 관련 logistics_logs 원천자료
DOC-2022-003-011,02_raw_documents/meeting_notes/DOC-2022-003-011_export_document_gap_2022-04-21.md,meeting_notes,2022-04-21,김도윤,물류팀,CUST-005,SUP-002,PROD-005,ISSUE-2022-003,수출 서류 누락으로 통관 지연 관련 meeting_notes 원천자료
DOC-2022-003-012,02_raw_documents/chat_logs/DOC-2022-003-012_export_document_gap_2022-04-22.md,chat_logs,2022-04-22,이민재,영업관리팀,CUST-005,SUP-002,PROD-005,ISSUE-2022-003,수출 서류 누락으로 통관 지연 관련 chat_logs 원천자료
DOC-2022-004-001,02_raw_documents/sales_emails/DOC-2022-004-001_quality_or_assembly_claim_2022-05-09.md,sales_emails,2022-05-09,박서연,품질 클레임팀,CUST-003,SUP-005,PROD-003,ISSUE-2022-004,반복 불량과 고객 조립 문제 사이 클레임 관련 sales_emails 원천자료
DOC-2022-004-002,02_raw_documents/purchase_emails/DOC-2022-004-002_quality_or_assembly_claim_2022-05-11.md,purchase_emails,2022-05-11,최유진,영업관리팀,CUST-003,SUP-005,PROD-003,ISSUE-2022-004,반복 불량과 고객 조립 문제 사이 클레임 관련 purchase_emails 원천자료
DOC-2022-004-003,02_raw_documents/quality_claims/DOC-2022-004-003_quality_or_assembly_claim_2022-05-13.md,quality_claims,2022-05-13,한지우,구매팀,CUST-003,SUP-005,PROD-003,ISSUE-2022-004,반복 불량과 고객 조립 문제 사이 클레임 관련 quality_claims 원천자료
DOC-2022-004-004,02_raw_documents/logistics_logs/DOC-2022-004-004_quality_or_assembly_claim_2022-05-15.md,logistics_logs,2022-05-15,윤예린,품질 클레임팀,CUST-003,SUP-005,PROD-003,ISSUE-2022-004,반복 불량과 고객 조립 문제 사이 클레임 관련 logistics_logs 원천자료
DOC-2022-004-005,02_raw_documents/meeting_notes/DOC-2022-004-005_quality_or_assembly_claim_2022-05-17.md,meeting_notes,2022-05-17,김도윤,영업관리팀,CUST-003,SUP-005,PROD-003,ISSUE-2022-004,반복 불량과 고객 조립 문제 사이 클레임 관련 meeting_notes 원천자료
DOC-2022-004-006,02_raw_documents/chat_logs/DOC-2022-004-006_quality_or_assembly_claim_2022-05-19.md,chat_logs,2022-05-19,이민재,구매팀,CUST-003,SUP-005,PROD-003,ISSUE-2022-004,반복 불량과 고객 조립 문제 사이 클레임 관련 chat_logs 원천자료
DOC-2022-004-007,02_raw_documents/sales_emails/DOC-2022-004-007_quality_or_assembly_claim_2022-05-21.md,sales_emails,2022-05-21,박서연,품질 클레임팀,CUST-003,SUP-005,PROD-003,ISSUE-2022-004,반복 불량과 고객 조립 문제 사이 클레임 관련 sales_emails 원천자료
