claim_id,claim_date,customer_id,product_id,defect_type,defect_quantity,severity,claim_status,quality_owner,related_issue_id
CLM-2022-0001,2022-01-10,CUST-002,PROD-001,urgent_shipment_conflict,53,Medium,resolved,한지우,ISSUE-2022-001
CLM-2022-0002,2022-03-14,CUST-001,PROD-002,supplier_stock_substitute,21,High,partially_resolved,송태경,ISSUE-2022-002
CLM-2022-0003,2022-04-22,CUST-005,PROD-005,export_document_gap,61,Medium,resolved,배수민,ISSUE-2022-003
CLM-2022-0004,2022-05-09,CUST-003,PROD-003,quality_or_assembly_claim,18,High,in_progress,한지우,ISSUE-2022-004
CLM-2022-0005,2022-07-15,CUST-004,PROD-004,lead_time_conflict,32,High,in_progress,송태경,ISSUE-2022-005
CLM-2022-0006,2022-08-30,CUST-001,PROD-001,air_freight_approval_delay,76,Medium,resolved,배수민,ISSUE-2022-006
CLM-2022-0007,2022-10-03,CUST-004,PROD-001,price_quote_conflict,37,High,in_progress,한지우,ISSUE-2022-007
CLM-2022-0008,2022-12-14,CUST-003,PROD-004,temporary_owner_gap,58,Medium,in_progress,송태경,ISSUE-2022-008
CLM-2022-0009,2022-02-12,CUST-001,PROD-005,delivery_recheck,85,Low,resolved,배수민,ISSUE-2022-009
CLM-2022-0010,2022-02-17,CUST-002,PROD-001,product_code_typo,68,Low,resolved,한지우,ISSUE-2022-010
CLM-2022-0011,2022-06-08,CUST-003,PROD-003,supplier_reply_delay,62,Medium,resolved,송태경,ISSUE-2022-011
CLM-2022-0012,2022-06-27,CUST-004,PROD-006,shipment_quantity_fix,40,Medium,resolved,배수민,ISSUE-2022-012
CLM-2022-0013,2022-09-02,CUST-005,PROD-004,owner_change,9,Low,resolved,한지우,ISSUE-2022-013
CLM-2022-0014,2022-09-22,CUST-002,PROD-001,repeated_todo_open,64,Medium,in_progress,송태경,ISSUE-2022-014
CLM-2022-0015,2022-11-14,CUST-005,PROD-002,month_end_check,57,Low,resolved,배수민,ISSUE-2022-015
CLM-2022-0016,2022-11-16,CUST-002,PROD-001,customer_price_update_gap,39,Medium,in_progress,한지우,ISSUE-2022-016
CLM-2022-0017,2022-01-19,CUST-002,PROD-001,urgent_shipment_conflict,48,Medium,resolved,송태경,ISSUE-2022-001
CLM-2022-0018,2022-03-25,CUST-001,PROD-002,supplier_stock_substitute,38,High,partially_resolved,배수민,ISSUE-2022-002
CLM-2022-0019,2022-04-07,CUST-005,PROD-005,export_document_gap,82,Medium,resolved,한지우,ISSUE-2022-003
CLM-2022-0020,2022-05-20,CUST-003,PROD-003,quality_or_assembly_claim,6,High,in_progress,송태경,ISSUE-2022-004
CLM-2022-0021,2022-07-29,CUST-004,PROD-004,lead_time_conflict,5,High,in_progress,배수민,ISSUE-2022-005
CLM-2022-0022,2022-08-11,CUST-001,PROD-001,air_freight_approval_delay,25,Medium,resolved,한지우,ISSUE-2022-006
CLM-2022-0023,2022-10-15,CUST-004,PROD-001,price_quote_conflict,66,High,in_progress,송태경,ISSUE-2022-007
CLM-2022-0024,2022-12-23,CUST-003,PROD-004,temporary_owner_gap,85,Medium,in_progress,배수민,ISSUE-2022-008
