id,project_id,title,event_type,start_at,end_at,related_todo_id,related_issue_id,created_at,updated_at
CAL-0001,PROJ-001,마감: Daesung Automotive 긴급 발주 대응 - 가능 수량과 고객 영향도 확인,todo_due,2025-06-14T09:00:00,2025-06-14T09:00:00,TODO-0001,ISS-2025-006,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0002,PROJ-001,마감: Daesung Automotive 긴급 발주 대응 - 다음 액션 및 담당자 회신,todo_due,2025-06-15T09:00:00,2025-06-15T09:00:00,TODO-0002,ISS-2025-006,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0003,PROJ-001,마감: KET Supplier 재고 부족으로 납기 지연 가능 - 가능 수량과 고객 영향도 확인,todo_due,2025-08-09T09:00:00,2025-08-09T09:00:00,TODO-0003,ISS-2025-008,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0004,PROJ-001,마감: KET Supplier 재고 부족으로 납기 지연 가능 - 다음 액션 및 담당자 회신,todo_due,2025-08-10T09:00:00,2025-08-10T09:00:00,TODO-0004,ISS-2025-008,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0005,PROJ-001,마감: Global Harness Vietnam 수출 서류 누락 통관 지연 - 가능 수량과 고객 영향도 확인,todo_due,2025-09-12T09:00:00,2025-09-12T09:00:00,TODO-0005,ISS-2025-009,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0006,PROJ-001,마감: Global Harness Vietnam 수출 서류 누락 통관 지연 - 다음 액션 및 담당자 회신,todo_due,2025-09-13T09:00:00,2025-09-13T09:00:00,TODO-0006,ISS-2025-009,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0007,PROJ-001,마감: Mirae EV Systems 센서 케이블 반복 클레임 - 가능 수량과 고객 영향도 확인,todo_due,2025-11-08T09:00:00,2025-11-08T09:00:00,TODO-0007,ISS-2025-011,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0008,PROJ-001,마감: Mirae EV Systems 센서 케이블 반복 클레임 - 다음 액션 및 담당자 회신,todo_due,2025-11-09T09:00:00,2025-11-09T09:00:00,TODO-0008,ISS-2025-011,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0009,PROJ-001,마감: Yazaki Parts Asia 리드타임 8주에서 12주 증가 - 가능 수량과 고객 영향도 확인,todo_due,2025-12-06T09:00:00,2025-12-06T09:00:00,TODO-0009,ISS-2025-012,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0010,PROJ-001,마감: Yazaki Parts Asia 리드타임 8주에서 12주 증가 - 다음 액션 및 담당자 회신,todo_due,2025-12-07T09:00:00,2025-12-07T09:00:00,TODO-0010,ISS-2025-012,2026-06-01T09:00:00,2026-06-01T09:00:00
CAL-0011,PROJ-001,마감: Hyundai Mobis Tier2 긴급 항공 이송 - 가능 수량과 고객 영향도 확인,todo_due,2026-02-10T09:00:00,2026-02-10T09:00:00,TODO-0011,ISS-2026-002,2026-06-01T09:00:00,2026-06-01T09:00:00
