id,project_id,title,file_path,doc_type,created_date,author,related_team,related_issue_id,content_preview,created_at,updated_at
DOC-0001,PROJ-001,주간 운영 회의록 - DOC-0001,02_raw_documents/meeting_notes/DOC-0001_meeting_notes_2025-06-25.md,주간 운영 회의록,2025-06-25,김도윤,운영총괄팀,ISS-2025-006,문서ID: DOC-0001 작성일: 2025-06-25 문서유형: 주간 운영 회의록 작성자: 김도윤 관련팀: 운영총괄팀 고객사: Daesung Automotive 구매처: TE Connectivity Korea 품목: AP-CN-204 커넥터 관련이슈: ISS-2025-006 / Daesung Automotive 긴급 발주 대응 Daesung Automotive 관련 AP-CN-204 커넥터 업무 건으로 2025년 06월 25,2025-06-25T09:00:00,2026-06-01T09:00:00
DOC-0002,PROJ-001,고객 불만 메일 - DOC-0002,02_raw_documents/sales_emails/DOC-0002_sales_emails_2025-06-03.md,고객 불만 메일,2025-06-03,정하늘,영업관리팀,,"문서ID: DOC-0002 작성일: 2025-06-03 문서유형: 고객 불만 메일 작성자: 정하늘 관련팀: 영업관리팀 고객사: Mirae EV Systems 구매처: KET Supplier 품목: AP-RL-450 릴레이 관련이슈: 일반 운영 / 정기 운영 확인 Mirae EV Systems 관련 AP-RL-450 릴레이 업무 건으로 2025년 06월 03일 기준 진행 상황을 정리합니다. 현재 확인된 수량은 400개이며, 요청",2025-06-03T09:00:00,2026-06-01T09:00:00
DOC-0003,PROJ-001,고객 발주 메일 - DOC-0003,02_raw_documents/sales_emails/DOC-0003_sales_emails_2025-06-15.md,고객 발주 메일,2025-06-15,박서연,영업관리팀,ISS-2025-006,문서ID: DOC-0003 작성일: 2025-06-15 문서유형: 고객 발주 메일 작성자: 박서연 관련팀: 영업관리팀 고객사: Daesung Automotive 구매처: TE Connectivity Korea 품목: AP-CN-204 커넥터 관련이슈: ISS-2025-006 / Daesung Automotive 긴급 발주 대응 Daesung Automotive 관련 AP-CN-204 커넥터 업무 건으로 2025년 06월 15일,2025-06-15T09:00:00,2026-06-01T09:00:00
DOC-0004,PROJ-001,리드타임 변경 공지 - DOC-0004,02_raw_documents/purchase_emails/DOC-0004_purchase_emails_2025-06-25.md,리드타임 변경 공지,2025-06-25,강민호,구매팀,ISS-2025-006,문서ID: DOC-0004 작성일: 2025-06-25 문서유형: 리드타임 변경 공지 작성자: 강민호 관련팀: 구매팀 고객사: Daesung Automotive 구매처: TE Connectivity Korea 품목: AP-CN-204 커넥터 관련이슈: ISS-2025-006 / Daesung Automotive 긴급 발주 대응 Daesung Automotive 관련 AP-CN-204 커넥터 업무 건으로 2025년 06월 25일,2025-06-25T09:00:00,2026-06-01T09:00:00
DOC-0005,PROJ-001,구매처 재고 부족 안내 - DOC-0005,02_raw_documents/purchase_emails/DOC-0005_purchase_emails_2025-06-15.md,구매처 재고 부족 안내,2025-06-15,강민호,구매팀,ISS-2025-006,문서ID: DOC-0005 작성일: 2025-06-15 문서유형: 구매처 재고 부족 안내 작성자: 강민호 관련팀: 구매팀 고객사: Daesung Automotive 구매처: TE Connectivity Korea 품목: AP-CN-204 커넥터 관련이슈: ISS-2025-006 / Daesung Automotive 긴급 발주 대응 Daesung Automotive 관련 AP-CN-204 커넥터 업무 건으로 2025년 06월 1,2025-06-15T09:00:00,2026-06-01T09:00:00
DOC-0006,PROJ-001,출고 로그 - DOC-0006,02_raw_documents/logistics_logs/DOC-0006_logistics_logs_2025-06-21.md,출고 로그,2025-06-21,문태준,물류팀,ISS-2025-006,문서ID: DOC-0006 작성일: 2025-06-21 문서유형: 출고 로그 작성자: 문태준 관련팀: 물류팀 고객사: Daesung Automotive 구매처: TE Connectivity Korea 품목: AP-CN-204 커넥터 관련이슈: ISS-2025-006 / Daesung Automotive 긴급 발주 대응 Daesung Automotive 관련 AP-CN-204 커넥터 업무 건으로 2025년 06월 21일 기준 진,2025-06-21T09:00:00,2026-06-01T09:00:00
DOC-0007,PROJ-001,불량 원인 분석 메모 - DOC-0007,02_raw_documents/quality_claims/DOC-0007_quality_claims_2025-06-07.md,불량 원인 분석 메모,2025-06-07,한지우,품질 클레임팀,ISS-2025-006,문서ID: DOC-0007 작성일: 2025-06-07 문서유형: 불량 원인 분석 메모 작성자: 한지우 관련팀: 품질 클레임팀 고객사: Daesung Automotive 구매처: TE Connectivity Korea 품목: AP-CN-204 커넥터 관련이슈: ISS-2025-006 / Daesung Automotive 긴급 발주 대응 Daesung Automotive 관련 AP-CN-204 커넥터 업무 건으로 2025년 06,2025-06-07T09:00:00,2026-06-01T09:00:00
DOC-0008,PROJ-001,인수인계 준비 회의록 - DOC-0008,02_raw_documents/meeting_notes/DOC-0008_meeting_notes_2025-06-03.md,인수인계 준비 회의록,2025-06-03,김도윤,운영총괄팀,,문서ID: DOC-0008 작성일: 2025-06-03 문서유형: 인수인계 준비 회의록 작성자: 김도윤 관련팀: 운영총괄팀 고객사: Global Harness Vietnam 구매처: Local Cable Works 품목: AP-WH-220 와이어하네스 관련이슈: 일반 운영 / 정기 운영 확인 Global Harness Vietnam 관련 AP-WH-220 와이어하네스 업무 건으로 2025년 06월 03일 기준 진행 상황을 정리,2025-06-03T09:00:00,2026-06-01T09:00:00
DOC-0009,PROJ-001,출고 로그 - DOC-0009,02_raw_documents/logistics_logs/DOC-0009_logistics_logs_2025-06-29.md,출고 로그,2025-06-29,문태준,물류팀,ISS-2025-006,문서ID: DOC-0009 작성일: 2025-06-29 문서유형: 출고 로그 작성자: 문태준 관련팀: 물류팀 고객사: Daesung Automotive 구매처: TE Connectivity Korea 품목: AP-CN-204 커넥터 관련이슈: ISS-2025-006 / Daesung Automotive 긴급 발주 대응 Daesung Automotive 관련 AP-CN-204 커넥터 업무 건으로 2025년 06월 29일 기준 진,2025-06-29T09:00:00,2026-06-01T09:00:00
DOC-0010,PROJ-001,단가 협상 메일 - DOC-0010,02_raw_documents/sales_emails/DOC-0010_sales_emails_2025-06-11.md,단가 협상 메일,2025-06-11,정하늘,영업관리팀,ISS-2025-006,문서ID: DOC-0010 작성일: 2025-06-11 문서유형: 단가 협상 메일 작성자: 정하늘 관련팀: 영업관리팀 고객사: Daesung Automotive 구매처: TE Connectivity Korea 품목: AP-CN-204 커넥터 관련이슈: ISS-2025-006 / Daesung Automotive 긴급 발주 대응 Daesung Automotive 관련 AP-CN-204 커넥터 업무 건으로 2025년 06월 11일,2025-06-11T09:00:00,2026-06-01T09:00:00
DOC-0011,PROJ-001,고객 납기 문의 - DOC-0011,02_raw_documents/sales_emails/DOC-0011_sales_emails_2025-06-18.md,고객 납기 문의,2025-06-18,정하늘,영업관리팀,ISS-2025-006,문서ID: DOC-0011 작성일: 2025-06-18 문서유형: 고객 납기 문의 작성자: 정하늘 관련팀: 영업관리팀 고객사: Daesung Automotive 구매처: TE Connectivity Korea 품목: AP-CN-204 커넥터 관련이슈: ISS-2025-006 / Daesung Automotive 긴급 발주 대응 Daesung Automotive 관련 AP-CN-204 커넥터 업무 건으로 2025년 06월 18일,2025-06-18T09:00:00,2026-06-01T09:00:00
DOC-0012,PROJ-001,주간 운영 회의록 - DOC-0012,02_raw_documents/meeting_notes/DOC-0012_meeting_notes_2025-06-15.md,주간 운영 회의록,2025-06-15,김도윤,운영총괄팀,ISS-2025-006,문서ID: DOC-0012 작성일: 2025-06-15 문서유형: 주간 운영 회의록 작성자: 김도윤 관련팀: 운영총괄팀 고객사: Daesung Automotive 구매처: TE Connectivity Korea 품목: AP-CN-204 커넥터 관련이슈: ISS-2025-006 / Daesung Automotive 긴급 발주 대응 Daesung Automotive 관련 AP-CN-204 커넥터 업무 건으로 2025년 06월 15,2025-06-15T09:00:00,2026-06-01T09:00:00
DOC-0013,PROJ-001,수출 고객 커뮤니케이션 메일 - DOC-0013,02_raw_documents/sales_emails/DOC-0013_sales_emails_2025-07-11.md,수출 고객 커뮤니케이션 메일,2025-07-11,정하늘,영업관리팀,ISS-2025-007,문서ID: DOC-0013 작성일: 2025-07-11 문서유형: 수출 고객 커뮤니케이션 메일 작성자: 정하늘 관련팀: 영업관리팀 고객사: Hanil Motors 구매처: TE Connectivity Korea 품목: AP-RL-450 릴레이 관련이슈: ISS-2025-007 / Hanil Motors 정기 발주 수량 변경 Hanil Motors 관련 AP-RL-450 릴레이 업무 건으로 2025년 07월 11일 기준 진행 상,2025-07-11T09:00:00,2026-06-01T09:00:00
DOC-0014,PROJ-001,주간 운영 회의록 - DOC-0014,02_raw_documents/meeting_notes/DOC-0014_meeting_notes_2025-07-25.md,주간 운영 회의록,2025-07-25,김도윤,운영총괄팀,,문서ID: DOC-0014 작성일: 2025-07-25 문서유형: 주간 운영 회의록 작성자: 김도윤 관련팀: 운영총괄팀 고객사: Daesung Automotive 구매처: Yazaki Parts Asia 품목: AP-RL-450 릴레이 관련이슈: 일반 운영 / 정기 운영 확인 Daesung Automotive 관련 AP-RL-450 릴레이 업무 건으로 2025년 07월 25일 기준 진행 상황을 정리합니다. 현재 확인된 수량은 ,2025-07-25T09:00:00,2026-06-01T09:00:00
DOC-0015,PROJ-001,팀 내부 진행 대화 - DOC-0015,02_raw_documents/chat_logs/DOC-0015_chat_logs_2025-07-03.md,팀 내부 진행 대화,2025-07-03,정하늘,영업관리팀,,문서ID: DOC-0015 작성일: 2025-07-03 문서유형: 팀 내부 진행 대화 작성자: 정하늘 관련팀: 영업관리팀 고객사: Daesung Automotive 구매처: JST Components 품목: AP-CB-510 케이블 어셈블리 관련이슈: 일반 운영 / 정기 운영 확인 Daesung Automotive 관련 AP-CB-510 케이블 어셈블리 업무 건으로 2025년 07월 03일 기준 진행 상황을 정리합니다. 현재 ,2025-07-03T09:00:00,2026-06-01T09:00:00
DOC-0016,PROJ-001,고객 불만 메일 - DOC-0016,02_raw_documents/sales_emails/DOC-0016_sales_emails_2025-07-03.md,고객 불만 메일,2025-07-03,정하늘,영업관리팀,,문서ID: DOC-0016 작성일: 2025-07-03 문서유형: 고객 불만 메일 작성자: 정하늘 관련팀: 영업관리팀 고객사: Hyundai Mobis Tier2 구매처: Yazaki Parts Asia 품목: AP-WH-220 와이어하네스 관련이슈: 일반 운영 / 정기 운영 확인 Hyundai Mobis Tier2 관련 AP-WH-220 와이어하네스 업무 건으로 2025년 07월 03일 기준 진행 상황을 정리합니다. 현재 확,2025-07-03T09:00:00,2026-06-01T09:00:00
DOC-0017,PROJ-001,월간 리스크 회의록 - DOC-0017,02_raw_documents/meeting_notes/DOC-0017_meeting_notes_2025-07-19.md,월간 리스크 회의록,2025-07-19,김도윤,운영총괄팀,ISS-2025-007,문서ID: DOC-0017 작성일: 2025-07-19 문서유형: 월간 리스크 회의록 작성자: 김도윤 관련팀: 운영총괄팀 고객사: Hanil Motors 구매처: TE Connectivity Korea 품목: AP-RL-450 릴레이 관련이슈: ISS-2025-007 / Hanil Motors 정기 발주 수량 변경 Hanil Motors 관련 AP-RL-450 릴레이 업무 건으로 2025년 07월 19일 기준 진행 상황을 정리,2025-07-19T09:00:00,2026-06-01T09:00:00
DOC-0018,PROJ-001,불량 원인 분석 메모 - DOC-0018,02_raw_documents/quality_claims/DOC-0018_quality_claims_2025-07-07.md,불량 원인 분석 메모,2025-07-07,송태현,품질 클레임팀,,문서ID: DOC-0018 작성일: 2025-07-07 문서유형: 불량 원인 분석 메모 작성자: 송태현 관련팀: 품질 클레임팀 고객사: Hyundai Mobis Tier2 구매처: TE Connectivity Korea 품목: AP-CN-204 커넥터 관련이슈: 일반 운영 / 정기 운영 확인 Hyundai Mobis Tier2 관련 AP-CN-204 커넥터 업무 건으로 2025년 07월 07일 기준 진행 상황을 정리합니다. 현,2025-07-07T09:00:00,2026-06-01T09:00:00
DOC-0019,PROJ-001,품질 클레임 대응 회의록 - DOC-0019,02_raw_documents/meeting_notes/DOC-0019_meeting_notes_2025-07-30.md,품질 클레임 대응 회의록,2025-07-30,김도윤,운영총괄팀,,문서ID: DOC-0019 작성일: 2025-07-30 문서유형: 품질 클레임 대응 회의록 작성자: 김도윤 관련팀: 운영총괄팀 고객사: Hyundai Mobis Tier2 구매처: KET Supplier 품목: AP-CB-510 케이블 어셈블리 관련이슈: 일반 운영 / 정기 운영 확인 Hyundai Mobis Tier2 관련 AP-CB-510 케이블 어셈블리 업무 건으로 2025년 07월 30일 기준 진행 상황을 정리합니다. ,2025-07-30T09:00:00,2026-06-01T09:00:00
DOC-0020,PROJ-001,리드타임 변경 공지 - DOC-0020,02_raw_documents/purchase_emails/DOC-0020_purchase_emails_2025-07-05.md,리드타임 변경 공지,2025-07-05,최유진,구매팀,,문서ID: DOC-0020 작성일: 2025-07-05 문서유형: 리드타임 변경 공지 작성자: 최유진 관련팀: 구매팀 고객사: Daesung Automotive 구매처: KET Supplier 품목: AP-SC-330 센서 케이블 관련이슈: 일반 운영 / 정기 운영 확인 Daesung Automotive 관련 AP-SC-330 센서 케이블 업무 건으로 2025년 07월 05일 기준 진행 상황을 정리합니다. 현재 확인된 수량은 ,2025-07-05T09:00:00,2026-06-01T09:00:00
DOC-0021,PROJ-001,클레임 접수표 - DOC-0021,02_raw_documents/quality_claims/DOC-0021_quality_claims_2025-07-23.md,클레임 접수표,2025-07-23,배수민,품질 클레임팀,ISS-2025-007,문서ID: DOC-0021 작성일: 2025-07-23 문서유형: 클레임 접수표 작성자: 배수민 관련팀: 품질 클레임팀 고객사: Hanil Motors 구매처: JST Components 품목: AP-RL-450 릴레이 관련이슈: ISS-2025-007 / Hanil Motors 정기 발주 수량 변경 Hanil Motors 관련 AP-RL-450 릴레이 업무 건으로 2025년 07월 23일 기준 진행 상황을 정리합니다. 현재 ,2025-07-23T09:00:00,2026-06-01T09:00:00
DOC-0022,PROJ-001,리드타임 변경 공지 - DOC-0022,02_raw_documents/purchase_emails/DOC-0022_purchase_emails_2025-07-11.md,리드타임 변경 공지,2025-07-11,오세진,구매팀,ISS-2025-007,문서ID: DOC-0022 작성일: 2025-07-11 문서유형: 리드타임 변경 공지 작성자: 오세진 관련팀: 구매팀 고객사: Hanil Motors 구매처: KET Supplier 품목: AP-RL-450 릴레이 관련이슈: ISS-2025-007 / Hanil Motors 정기 발주 수량 변경 Hanil Motors 관련 AP-RL-450 릴레이 업무 건으로 2025년 07월 11일 기준 진행 상황을 정리합니다. 현재 확인된,2025-07-11T09:00:00,2026-06-01T09:00:00
DOC-0023,PROJ-001,대체품 가능 여부 회신 - DOC-0023,02_raw_documents/purchase_emails/DOC-0023_purchase_emails_2025-07-05.md,대체품 가능 여부 회신,2025-07-05,오세진,구매팀,,문서ID: DOC-0023 작성일: 2025-07-05 문서유형: 대체품 가능 여부 회신 작성자: 오세진 관련팀: 구매팀 고객사: Hyundai Mobis Tier2 구매처: Yazaki Parts Asia 품목: AP-CB-510 케이블 어셈블리 관련이슈: 일반 운영 / 정기 운영 확인 Hyundai Mobis Tier2 관련 AP-CB-510 케이블 어셈블리 업무 건으로 2025년 07월 05일 기준 진행 상황을 정리합니다,2025-07-05T09:00:00,2026-06-01T09:00:00
DOC-0024,PROJ-001,출고 로그 - DOC-0024,02_raw_documents/logistics_logs/DOC-0024_logistics_logs_2025-07-27.md,출고 로그,2025-07-27,문태준,물류팀,,"문서ID: DOC-0024 작성일: 2025-07-27 문서유형: 출고 로그 작성자: 문태준 관련팀: 물류팀 고객사: Mirae EV Systems 구매처: Local Cable Works 품목: AP-CN-204 커넥터 관련이슈: 일반 운영 / 정기 운영 확인 Mirae EV Systems 관련 AP-CN-204 커넥터 업무 건으로 2025년 07월 27일 기준 진행 상황을 정리합니다. 현재 확인된 수량은 800개이며, 요청",2025-07-27T09:00:00,2026-06-01T09:00:00
DOC-0025,PROJ-001,팀장 승인 요청 대화 - DOC-0025,02_raw_documents/chat_logs/DOC-0025_chat_logs_2025-08-27.md,팀장 승인 요청 대화,2025-08-27,정하늘,영업관리팀,ISS-2025-008,문서ID: DOC-0025 작성일: 2025-08-27 문서유형: 팀장 승인 요청 대화 작성자: 정하늘 관련팀: 영업관리팀 고객사: Hyundai Mobis Tier2 구매처: KET Supplier 품목: AP-WH-220 와이어하네스 관련이슈: ISS-2025-008 / KET Supplier 재고 부족으로 납기 지연 가능 Hyundai Mobis Tier2 관련 AP-WH-220 와이어하네스 업무 건으로 2025년 08월,2025-08-27T09:00:00,2026-06-01T09:00:00
DOC-0026,PROJ-001,단가 협상 메일 - DOC-0026,02_raw_documents/sales_emails/DOC-0026_sales_emails_2025-08-20.md,단가 협상 메일,2025-08-20,박서연,영업관리팀,ISS-2025-008,문서ID: DOC-0026 작성일: 2025-08-20 문서유형: 단가 협상 메일 작성자: 박서연 관련팀: 영업관리팀 고객사: Hyundai Mobis Tier2 구매처: KET Supplier 품목: AP-WH-220 와이어하네스 관련이슈: ISS-2025-008 / KET Supplier 재고 부족으로 납기 지연 가능 Hyundai Mobis Tier2 관련 AP-WH-220 와이어하네스 업무 건으로 2025년 08월 20,2025-08-20T09:00:00,2026-06-01T09:00:00
DOC-0027,PROJ-001,통관 지연 기록 - DOC-0027,02_raw_documents/logistics_logs/DOC-0027_logistics_logs_2025-08-17.md,통관 지연 기록,2025-08-17,문태준,물류팀,ISS-2025-008,문서ID: DOC-0027 작성일: 2025-08-17 문서유형: 통관 지연 기록 작성자: 문태준 관련팀: 물류팀 고객사: Hyundai Mobis Tier2 구매처: KET Supplier 품목: AP-WH-220 와이어하네스 관련이슈: ISS-2025-008 / KET Supplier 재고 부족으로 납기 지연 가능 Hyundai Mobis Tier2 관련 AP-WH-220 와이어하네스 업무 건으로 2025년 08월 17일 ,2025-08-17T09:00:00,2026-06-01T09:00:00
DOC-0028,PROJ-001,Todo 노출 대화 - DOC-0028,02_raw_documents/chat_logs/DOC-0028_chat_logs_2025-08-17.md,Todo 노출 대화,2025-08-17,이민재,영업관리팀,ISS-2025-008,문서ID: DOC-0028 작성일: 2025-08-17 문서유형: Todo 노출 대화 작성자: 이민재 관련팀: 영업관리팀 고객사: Hyundai Mobis Tier2 구매처: KET Supplier 품목: AP-WH-220 와이어하네스 관련이슈: ISS-2025-008 / KET Supplier 재고 부족으로 납기 지연 가능 Hyundai Mobis Tier2 관련 AP-WH-220 와이어하네스 업무 건으로 2025년 08월 ,2025-08-17T09:00:00,2026-06-01T09:00:00
DOC-0029,PROJ-001,개선대책 요청 - DOC-0029,02_raw_documents/quality_claims/DOC-0029_quality_claims_2025-08-20.md,개선대책 요청,2025-08-20,송태현,품질 클레임팀,ISS-2025-008,문서ID: DOC-0029 작성일: 2025-08-20 문서유형: 개선대책 요청 작성자: 송태현 관련팀: 품질 클레임팀 고객사: Hyundai Mobis Tier2 구매처: KET Supplier 품목: AP-WH-220 와이어하네스 관련이슈: ISS-2025-008 / KET Supplier 재고 부족으로 납기 지연 가능 Hyundai Mobis Tier2 관련 AP-WH-220 와이어하네스 업무 건으로 2025년 08월 2,2025-08-20T09:00:00,2026-06-01T09:00:00
DOC-0030,PROJ-001,고객 불만 메일 - DOC-0030,02_raw_documents/sales_emails/DOC-0030_sales_emails_2025-08-05.md,고객 불만 메일,2025-08-05,박서연,영업관리팀,ISS-2025-008,문서ID: DOC-0030 작성일: 2025-08-05 문서유형: 고객 불만 메일 작성자: 박서연 관련팀: 영업관리팀 고객사: Hyundai Mobis Tier2 구매처: KET Supplier 품목: AP-WH-220 와이어하네스 관련이슈: ISS-2025-008 / KET Supplier 재고 부족으로 납기 지연 가능 Hyundai Mobis Tier2 관련 AP-WH-220 와이어하네스 업무 건으로 2025년 08월 05,2025-08-05T09:00:00,2026-06-01T09:00:00
DOC-0031,PROJ-001,배송 지연 기록 - DOC-0031,02_raw_documents/logistics_logs/DOC-0031_logistics_logs_2025-08-20.md,배송 지연 기록,2025-08-20,문태준,물류팀,ISS-2025-008,문서ID: DOC-0031 작성일: 2025-08-20 문서유형: 배송 지연 기록 작성자: 문태준 관련팀: 물류팀 고객사: Hyundai Mobis Tier2 구매처: KET Supplier 품목: AP-WH-220 와이어하네스 관련이슈: ISS-2025-008 / KET Supplier 재고 부족으로 납기 지연 가능 Hyundai Mobis Tier2 관련 AP-WH-220 와이어하네스 업무 건으로 2025년 08월 20일 ,2025-08-20T09:00:00,2026-06-01T09:00:00
DOC-0032,PROJ-001,입고 로그 - DOC-0032,02_raw_documents/logistics_logs/DOC-0032_logistics_logs_2025-08-07.md,입고 로그,2025-08-07,권재윤,물류팀,ISS-2025-008,문서ID: DOC-0032 작성일: 2025-08-07 문서유형: 입고 로그 작성자: 권재윤 관련팀: 물류팀 고객사: Hyundai Mobis Tier2 구매처: KET Supplier 품목: AP-WH-220 와이어하네스 관련이슈: ISS-2025-008 / KET Supplier 재고 부족으로 납기 지연 가능 Hyundai Mobis Tier2 관련 AP-WH-220 와이어하네스 업무 건으로 2025년 08월 07일 기준 ,2025-08-07T09:00:00,2026-06-01T09:00:00
DOC-0033,PROJ-001,팀장 승인 요청 대화 - DOC-0033,02_raw_documents/chat_logs/DOC-0033_chat_logs_2025-08-30.md,팀장 승인 요청 대화,2025-08-30,이민재,영업관리팀,ISS-2025-008,문서ID: DOC-0033 작성일: 2025-08-30 문서유형: 팀장 승인 요청 대화 작성자: 이민재 관련팀: 영업관리팀 고객사: Hyundai Mobis Tier2 구매처: KET Supplier 품목: AP-WH-220 와이어하네스 관련이슈: ISS-2025-008 / KET Supplier 재고 부족으로 납기 지연 가능 Hyundai Mobis Tier2 관련 AP-WH-220 와이어하네스 업무 건으로 2025년 08월,2025-08-30T09:00:00,2026-06-01T09:00:00
