id,project_id,title,issue_type,severity,status,description,detected_at,due_at,related_issue_id,source,created_at,updated_at
AI-ISS-2025-006,PROJ-001,Daesung Automotive 긴급 발주 대응,UrgentOrder,High,closed,"Daesung Automotive가 AP-CN-204 5,000개 긴급 납품을 요청하여 재고 확인, 구매처 협의, 출고 우선순위 조정이 발생함",2025-06-10,2025-06-24,ISS-2025-006,dummy_seed,2025-06-10T09:00:00,2026-06-01T09:00:00
AI-ISS-2025-008,PROJ-001,KET Supplier 재고 부족으로 납기 지연 가능,SupplierStock,High,closed,KET Supplier의 AP-WH-220 재고 부족으로 Hyundai Mobis Tier2 납기 지연 위험이 발생함,2025-08-05,2025-08-29,ISS-2025-008,dummy_seed,2025-08-05T09:00:00,2026-06-01T09:00:00
AI-ISS-2025-009,PROJ-001,Global Harness Vietnam 수출 서류 누락 통관 지연,ExportDelay,Medium,closed,Global Harness Vietnam 출하 건에서 원산지 증명 서류 누락으로 통관 지연이 발생함,2025-09-08,2025-09-22,ISS-2025-009,dummy_seed,2025-09-08T09:00:00,2026-06-01T09:00:00
AI-ISS-2025-011,PROJ-001,Mirae EV Systems 센서 케이블 반복 클레임,QualityClaim,High,monitoring,Mirae EV Systems에서 AP-SC-330 센서 케이블 접촉 불량 클레임이 반복 접수됨,2025-11-04,2025-12-03,ISS-2025-011,dummy_seed,2025-11-04T09:00:00,2026-06-01T09:00:00
AI-ISS-2025-012,PROJ-001,Yazaki Parts Asia 리드타임 8주에서 12주 증가,LeadTimeChange,Medium,closed,Yazaki Parts Asia가 AP-RL-450 리드타임을 8주에서 12주로 변경 공지함,2025-12-02,2026-01-10,ISS-2025-012,dummy_seed,2025-12-02T09:00:00,2026-06-01T09:00:00
AI-ISS-2026-002,PROJ-001,Hyundai Mobis Tier2 긴급 항공 이송,ExpediteShipping,High,closed,Hyundai Mobis Tier2 납기 대응을 위해 AP-TM-118 일부 수량을 항공 긴급 이송함,2026-02-06,2026-02-19,ISS-2026-002,dummy_seed,2026-02-06T09:00:00,2026-06-01T09:00:00
AI-ISS-2026-004,PROJ-001,TE Connectivity Korea 단가 7% 인상 통보,PriceIncrease,Medium,open,TE Connectivity Korea가 주요 커넥터 단가 7% 인상을 통보하여 고객 단가 협상이 필요함,2026-04-03,2026-05-02,ISS-2026-004,dummy_seed,2026-04-03T09:00:00,2026-06-01T09:00:00
AI-ISS-2026-005,PROJ-001,박서연 담당 고객 인수인계 준비,Handover,High,open,박서연 담당 Hyundai Mobis Tier2와 Daesung Automotive 업무 일부를 이민재에게 인수인계해야 함,2026-05-12,2026-06-01,ISS-2026-005,dummy_seed,2026-05-12T09:00:00,2026-06-01T09:00:00
AI-ISS-2025-007,PROJ-001,Hanil Motors 정기 발주 수량 변경,OrderChange,Low,closed,Hanil Motors가 7월 정기 발주 수량을 일부 조정함,2025-07-12,2025-07-18,ISS-2025-007,dummy_seed,2025-07-12T09:00:00,2026-06-01T09:00:00
AI-ISS-2025-010,PROJ-001,Local Cable Works 대체품 승인 검토,AlternativePart,Medium,closed,센서 케이블 대체 출하 가능성을 검토함,2025-10-11,2025-10-25,ISS-2025-010,dummy_seed,2025-10-11T09:00:00,2026-06-01T09:00:00
