id,project_id,title,description,status,priority,owner_member_id,due_at,source_type,source_id,related_issue_id,created_at,updated_at
TODO-0001,PROJ-001,Daesung Automotive 긴급 발주 대응 - 가능 수량과 고객 영향도 확인,"관련 문서와 CSV를 확인해 수량, 고객 영향도, 지연 사유를 정리합니다.",done,high,PM-002,2025-06-14,issue,AI-ISS-2025-006,ISS-2025-006,2025-06-10T09:00:00,2026-06-01T09:00:00
TODO-0002,PROJ-001,Daesung Automotive 긴급 발주 대응 - 다음 액션 및 담당자 회신,담당 부서 회신을 취합하고 미완료 항목을 업데이트합니다.,done,high,PM-002,2025-06-15,issue,AI-ISS-2025-006,ISS-2025-006,2025-06-10T09:00:00,2026-06-01T09:00:00
TODO-0003,PROJ-001,KET Supplier 재고 부족으로 납기 지연 가능 - 가능 수량과 고객 영향도 확인,"관련 문서와 CSV를 확인해 수량, 고객 영향도, 지연 사유를 정리합니다.",done,high,PM-002,2025-08-09,issue,AI-ISS-2025-008,ISS-2025-008,2025-08-05T09:00:00,2026-06-01T09:00:00
TODO-0004,PROJ-001,KET Supplier 재고 부족으로 납기 지연 가능 - 다음 액션 및 담당자 회신,담당 부서 회신을 취합하고 미완료 항목을 업데이트합니다.,done,high,PM-002,2025-08-10,issue,AI-ISS-2025-008,ISS-2025-008,2025-08-05T09:00:00,2026-06-01T09:00:00
TODO-0005,PROJ-001,Global Harness Vietnam 수출 서류 누락 통관 지연 - 가능 수량과 고객 영향도 확인,"관련 문서와 CSV를 확인해 수량, 고객 영향도, 지연 사유를 정리합니다.",done,medium,PM-002,2025-09-12,issue,AI-ISS-2025-009,ISS-2025-009,2025-09-08T09:00:00,2026-06-01T09:00:00
TODO-0006,PROJ-001,Global Harness Vietnam 수출 서류 누락 통관 지연 - 다음 액션 및 담당자 회신,담당 부서 회신을 취합하고 미완료 항목을 업데이트합니다.,done,medium,PM-002,2025-09-13,issue,AI-ISS-2025-009,ISS-2025-009,2025-09-08T09:00:00,2026-06-01T09:00:00
TODO-0007,PROJ-001,Mirae EV Systems 센서 케이블 반복 클레임 - 가능 수량과 고객 영향도 확인,"관련 문서와 CSV를 확인해 수량, 고객 영향도, 지연 사유를 정리합니다.",open,high,PM-002,2025-11-08,issue,AI-ISS-2025-011,ISS-2025-011,2025-11-04T09:00:00,2026-06-01T09:00:00
TODO-0008,PROJ-001,Mirae EV Systems 센서 케이블 반복 클레임 - 다음 액션 및 담당자 회신,담당 부서 회신을 취합하고 미완료 항목을 업데이트합니다.,open,high,PM-002,2025-11-09,issue,AI-ISS-2025-011,ISS-2025-011,2025-11-04T09:00:00,2026-06-01T09:00:00
TODO-0009,PROJ-001,Yazaki Parts Asia 리드타임 8주에서 12주 증가 - 가능 수량과 고객 영향도 확인,"관련 문서와 CSV를 확인해 수량, 고객 영향도, 지연 사유를 정리합니다.",done,medium,PM-002,2025-12-06,issue,AI-ISS-2025-012,ISS-2025-012,2025-12-02T09:00:00,2026-06-01T09:00:00
TODO-0010,PROJ-001,Yazaki Parts Asia 리드타임 8주에서 12주 증가 - 다음 액션 및 담당자 회신,담당 부서 회신을 취합하고 미완료 항목을 업데이트합니다.,done,medium,PM-002,2025-12-07,issue,AI-ISS-2025-012,ISS-2025-012,2025-12-02T09:00:00,2026-06-01T09:00:00
TODO-0011,PROJ-001,Hyundai Mobis Tier2 긴급 항공 이송 - 가능 수량과 고객 영향도 확인,"관련 문서와 CSV를 확인해 수량, 고객 영향도, 지연 사유를 정리합니다.",done,high,PM-002,2026-02-10,issue,AI-ISS-2026-002,ISS-2026-002,2026-02-06T09:00:00,2026-06-01T09:00:00
TODO-0012,PROJ-001,Hyundai Mobis Tier2 긴급 항공 이송 - 다음 액션 및 담당자 회신,담당 부서 회신을 취합하고 미완료 항목을 업데이트합니다.,done,high,PM-002,2026-02-11,issue,AI-ISS-2026-002,ISS-2026-002,2026-02-06T09:00:00,2026-06-01T09:00:00
TODO-0013,PROJ-001,TE Connectivity Korea 단가 7% 인상 통보 - 가능 수량과 고객 영향도 확인,"관련 문서와 CSV를 확인해 수량, 고객 영향도, 지연 사유를 정리합니다.",open,medium,PM-002,2026-04-07,issue,AI-ISS-2026-004,ISS-2026-004,2026-04-03T09:00:00,2026-06-01T09:00:00
